lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 1.07638631 -0.3927734   0.23643047],[-1.80121489  0.36732352  0.46043545],[0. 0. 0.],[ 1.36195464 -0.60555954  0.49582357],[-2.15622311  0.52113316  0.9219456 ],[0. 0. 0.],[ 0.45120293 -0.38071963 -1.3968388 ],[-0.06612477  0.03046859 -0.86333689],[0. 0. 0.],[0.70837359 0.15841655 0.42288819],[-0.6876848  -0.39225106  1.01314655],[0. 0. 0.],[ 3.09507816 -0.23520536  1.89217153],[-0.70129875 -0.19486982  0.5222624 ]
[ 1.1347605  -0.43129544  0.27740407],[-1.87768213  0.37029597  0.50090698],[0. 0. 0.],[ 1.36607185 -0.65809486  0.54201852],[-2.19169043  0.5192624   0.95363442],[0. 0. 0.],[ 0.42237641 -0.3744489  -1.44742627],[-0.04614765  0.02141135 -0.86872262],[0. 0. 0.],[0.69218801 0.1490799  0.40840659],[-0.76629069 -0.41336872  0.95937093],[0. 0. 0.],[ 3.07716768 -0.23733821  1.90863016],[-0.72224316 -0.18888447  0.49146746]
[ 1.17103867 -0.46101764  0.30874979],[-1.93752726  0.36800451  0.52900653],[0. 0. 0.],[ 1.39569507 -0.68990787  0.5853563 ],[-2.24025642  0.52170877  1.00823268],[0. 0. 0.],[ 0.44402859 -0.39205218 -1.44295507],[-0.02971446  0.01360176 -0.85851465],[0. 0. 0.],[0.7196544  0.11895469 0.31396461],[-0.80667956 -0.44761278  0.98001415],[0. 0. 0.],[ 3.06054925 -0.24080679  1.91562406],[-0.74044629 -0.1839667   0.46667752]
[ 1.24479298 -0.46931655  0.33976372],[-2.00807827  0.34632906  0.53645653],[0. 0. 0.],[ 1.47487447 -0.69969204  0.64007995],[-2.30661811  0.49361977  1.03312663],[0. 0. 0.],[ 0.49392221 -0.4286273  -1.42438403],[-0.02041907  0.00924154 -0.8499969 ],[0. 0. 0.],[0.79085185 0.07646442 0.18276584],[-0.81384002 -0.46406106  1.00301366],[0. 0. 0.],[ 3.0467501  -0.26645516  1.9098811 ],[-0.75010103 -0.17803656  0.44589184]
[ 1.28381788 -0.47335548  0.35676589],[-2.04887569  0.33335691  0.53981994],[0. 0. 0.],[ 1.49805759 -0.70612952  0.66018915],[-2.33239613  0.48247991  1.04297519],[0. 0. 0.],[ 0.50762938 -0.43398036 -1.40882385],[-0.05405737  0.02424044 -0.84293413],[0. 0. 0.],[0.87878582 0.0418763  0.08904524],[-0.73338607 -0.43398437  1.04220726],[0. 0. 0.],[ 3.03523201 -0.27079738  1.90728583],[-0.76277038 -0.17499742  0.43071358]
[ 1.31070862 -0.46896862  0.36319994],[-2.09843665  0.3104215   0.53167487],[0. 0. 0.],[ 1.52924862 -0.72711463  0.69991707],[-2.34607435  0.49175811  1.07685918],[0. 0. 0.],[ 0.56192208 -0.45007123 -1.34115826],[-0.05560852  0.02884247 -0.95678968],[0. 0. 0.],[0.94312811 0.02399573 0.04705002],[-0.82787105 -0.44336609  0.94804835],[0. 0. 0.],[ 3.0276715  -0.2741553   1.89514146],[-0.7753503  -0.17533147  0.42401082]
[ 1.38181431 -0.46046609  0.3828686 ],[-2.1506821   0.30473622  0.55370256],[0. 0. 0.],[ 1.60448783 -0.7429977   0.76607745],[-2.36143664  0.49635451  1.10467923],[0. 0. 0.],[ 0.57924989 -0.46011551 -1.33217908],[-0.01044421  0.00526138 -0.93329792],[0. 0. 0.],[0.98311885 0.01972396 0.0368372 ],[-0.90415159 -0.43790644  0.85933982],[0. 0. 0.],[ 3.01726692 -0.29343918  1.8830568 ],[-0.78252408 -0.17007662  0.40753689]
[ 1.47206384 -0.45140791  0.41014318],[-2.18187419  0.2914393   0.5497179 ],[0. 0. 0.],[ 1.68223759 -0.74172838  0.82028389],[-2.37988055  0.48408554  1.10504587],[0. 0. 0.],[ 0.59303361 -0.47363641 -1.33715918],[-0.03703952  0.01817868 -0.91243874],[0. 0. 0.],[1.01072233 0.01020166 0.01843801],[-0.87534535 -0.45944704  0.92688999],[0. 0. 0.],[ 3.00786674 -0.33136973  1.87588016],[-0.7662494  -0.15894307  0.39016632]
[ 1.52788732 -0.45863803  0.43999733],[-2.22191162  0.28457461  0.56314686],[0. 0. 0.],[ 1.71366758 -0.76218945  0.86631114],[-2.3955769   0.48540531  1.12819853],[0. 0. 0.],[ 0.58879667 -0.48634545 -1.37146639],[-0.08236693  0.04124616 -0.92817342],[0. 0. 0.],[1.08562317 0.02488002 0.04123904],[-1.03035649 -0.52835009  0.89139666],[0. 0. 0.],[ 2.99795561 -0.3568567   1.88159663],[-0.76390341 -0.15030808  0.37060601]
[ 1.57323517 -0.46431402  0.46540735],[-2.24737933  0.28090466  0.57347048],[0. 0. 0.],[ 1.72173007 -0.81552713  0.93151742],[-2.40503116  0.49177333  1.15325567],[0. 0. 0.],[ 0.56283499 -0.49375697 -1.43399472],[-0.06163445  0.02719705 -0.83094215],[0. 0. 0.],[0.99803268 0.05977508 0.10959666],[-0.92404197 -0.47112779  0.89828594],[0. 0. 0.],[ 2.98982096 -0.37992791  1.88652484],[-0.76298536 -0.14222907  0.35149294]
[ 1.63552472 -0.45811533  0.48760627],[-2.29719131  0.26363222  0.57399938],[0. 0. 0.],[ 1.78728018 -0.82280605  0.99441661],[-2.43020949  0.47002487  1.14503727],[0. 0. 0.],[ 0.55687815 -0.50020818 -1.45855045],[-0.01223022  0.00524987 -0.81092878],[0. 0. 0.],[0.97027797 0.09745663 0.18449234],[-0.97761372 -0.47865091  0.86025255],[0. 0. 0.],[ 2.9804509  -0.40303038  1.88498497],[-0.76108645 -0.13409595  0.33260668]
[ 1.67010391 -0.44941488  0.49460896],[-2.33839547  0.24701872  0.56878843],[0. 0. 0.],[ 1.83296002 -0.83782954  1.05192775],[-2.44804045  0.48036144  1.19121011],[0. 0. 0.],[ 0.56011651 -0.50845207 -1.46943751],[-1.01349412e-03  4.09547287e-04 -7.68062015e-01],[0. 0. 0.],[0.94455369 0.09833546 0.19206268],[-0.95416269 -0.51368877  0.94022891],[0. 0. 0.],[ 2.97945139 -0.41697699  1.88248373],[-0.75398071 -0.12817672  0.32138692]
[ 1.72339509 -0.43085132  0.49944701],[-2.35901953  0.2345739   0.5563911 ],[0. 0. 0.],[ 1.89325072 -0.82613594  1.09334671],[-2.48860557  0.46276806  1.21579414],[0. 0. 0.],[ 0.58124564 -0.53195362 -1.47757063],[ 0.01028028 -0.00404741 -0.75013317],[0. 0. 0.],[0.88409949 0.11156936 0.23489185],[-0.94887414 -0.46968469  0.8719602 ],[0. 0. 0.],[ 2.98043634 -0.43030411  1.87888946],[-0.75227613 -0.1241484   0.31219008]
[ 1.81860945 -0.40781206  0.51923851],[-2.41705079  0.23297102  0.59892823],[0. 0. 0.],[ 1.9856215  -0.81643931  1.1710173 ],[-2.54023366  0.47001826  1.31507178],[0. 0. 0.],[ 0.66635803 -0.57109151 -1.40697228],[ 0.04770157 -0.01762387 -0.70770485],[0. 0. 0.],[0.78237002 0.12644757 0.30461517],[-0.97961642 -0.40528795  0.73568584],[0. 0. 0.],[ 2.97978587 -0.4709134   1.87256092],[-0.73129313 -0.11527825  0.29917731]
[ 1.88920667 -0.40110104  0.54796363],[-2.48127959  0.23292211  0.65794792],[0. 0. 0.],[ 2.08417088 -0.83870555  1.30367291],[-2.59855031  0.48077903  1.44387901],[0. 0. 0.],[ 0.70424028 -0.58950461 -1.38110017],[ 0.05349837 -0.02126561 -0.75656114],[0. 0. 0.],[0.71266363 0.1303019  0.34703695],[-1.0025301  -0.37003709  0.65828064],[0. 0. 0.],[ 2.98483683 -0.48807287  1.87484591],[-0.73016565 -0.11235084  0.29215873]
[ 1.90057152 -0.39838441  0.55057849],[-2.50774463  0.23317619  0.68596052],[0. 0. 0.],[ 2.11675768 -0.83616021  1.33693725],[-2.625742    0.45716975  1.44546976],[0. 0. 0.],[ 0.68046688 -0.56441113 -1.37250021],[ 0.06127307 -0.02615319 -0.80665476],[0. 0. 0.],[0.41178304 0.14048868 0.64989862],[-0.98462932 -0.24555447  0.45225701],[0. 0. 0.],[ 2.98941889 -0.47334664  1.87863841],[-0.73994677 -0.11322433  0.29019965]
[ 1.9496169  -0.38949841  0.56601863],[-2.46276449  0.26287683  0.71653019],[0. 0. 0.],[ 2.23190226 -0.80174318  1.4281395 ],[-2.68244835  0.41832225  1.47477814],[0. 0. 0.],[ 0.69587202 -0.57779474 -1.37299396],[ 0.09061676 -0.03871749 -0.807173  ],[0. 0. 0.],[0.45636891 0.13848087 0.58040459],[-1.07632443 -0.29990582  0.49579778],[0. 0. 0.],[ 2.98930897 -0.48721514  1.87624261],[-0.739471   -0.10960819  0.28123198]
[ 1.96234014 -0.39264032  0.57791134],[-2.46609516  0.26968159  0.73724715],[0. 0. 0.],[ 2.28892199 -0.78661059  1.48049242],[-2.70971362  0.3841983   1.45079176],[0. 0. 0.],[ 0.71200319 -0.56736933 -1.32988879],[ 0.10774994 -0.04710817 -0.8237409 ],[0. 0. 0.],[0.25137761 0.09244855 0.70187228],[-0.9745059  -0.19245732  0.36039296],[0. 0. 0.],[ 2.98385979 -0.47918176  1.88198781],[-0.74974667 -0.10669219  0.26975965]
[ 1.9741452  -0.39475771  0.58799769],[-2.50287378  0.25587006  0.74199462],[0. 0. 0.],[ 2.3358495  -0.77633436  1.52944601],[-2.73517804  0.37773015  1.49576441],[0. 0. 0.],[ 0.71064349 -0.56655713 -1.33044283],[ 0.10692261 -0.04676111 -0.82397952],[0. 0. 0.],[0.10202402 0.05314798 0.95999324],[-0.93395937 -0.05623075  0.11144478],[0. 0. 0.],[ 2.98281547 -0.47927838  1.88498185],[-0.75414672 -0.10440804  0.26236556]
[ 1.9999783  -0.39817426  0.60889272],[-2.56132891  0.24289307  0.77612349],[0. 0. 0.],[ 2.41263338 -0.76710364  1.62685665],[-2.7769983   0.34705292  1.52045365],[0. 0. 0.],[ 0.71451044 -0.57307187 -1.33643154],[ 0.10841295 -0.04770279 -0.82844799],[0. 0. 0.],[0.28018308 0.13277912 0.88116109],[-1.09498446 -0.13184254  0.21572906],[0. 0. 0.],[ 2.98204893 -0.47373835  1.88871301],[-0.76589786 -0.10229302  0.25279879]
