right_hip_xyz,right_knee_xyz,right_ankle_xyz,knee_angle_xyz
"[0.5439780950546265, 0.6619636416435242, -0.0018396209925413132]","[0.5159421563148499, 0.8026736378669739, -0.16526052355766296]","[0.5336153507232666, 0.9427592158317566, 0.03151131421327591]",75.77662693474468
"[0.5441852807998657, 0.6583620309829712, -0.0021115571726113558]","[0.5174998044967651, 0.803405225276947, -0.12973806262016296]","[0.5336433053016663, 0.9427455067634583, 0.054703641682863235]",85.2275001241351
"[0.5444434881210327, 0.6534878015518188, -0.0036876224912703037]","[0.5193480253219604, 0.8042665719985962, -0.0945434495806694]","[0.5336464643478394, 0.9427267909049988, 0.07081402093172073]",98.21884214584028
"[0.5444602966308594, 0.6516498923301697, -0.003299526171758771]","[0.5198053121566772, 0.8044993281364441, -0.08376219123601913]","[0.5336021184921265, 0.9423156976699829, 0.08088357746601105]",101.48846753180962
"[0.5444493293762207, 0.6481524109840393, -0.003259063232690096]","[0.5214957594871521, 0.8042498230934143, -0.0714917778968811]","[0.5335991978645325, 0.9422393441200256, 0.07798789441585541]",108.40837444666573
"[0.5441272258758545, 0.647395133972168, -0.003398298053070903]","[0.5224368572235107, 0.8047534227371216, -0.055582188069820404]","[0.5335858464241028, 0.9416759610176086, 0.08871757239103317]",114.42404854010613
"[0.5439926981925964, 0.6467879414558411, -0.0033467381726950407]","[0.5246812105178833, 0.8047734498977661, -0.045130833983421326]","[0.5335795879364014, 0.9416342377662659, 0.08709242194890976]",120.53094947368098
"[0.5439378023147583, 0.6454185843467712, -0.0033380587119609118]","[0.5263866186141968, 0.8039549589157104, -0.041426096111536026]","[0.5335597395896912, 0.9416355490684509, 0.08274232596158981]",123.90418294006658
"[0.5438819527626038, 0.6445125341415405, -0.003606686368584633]","[0.5279185771942139, 0.8033625483512878, -0.03680259734392166]","[0.5335500836372375, 0.9422124624252319, 0.07945935428142548]",127.79695527627516
"[0.5438814163208008, 0.6444733738899231, -0.0036170005332678556]","[0.5284559726715088, 0.802697479724884, -0.03144564852118492]","[0.5335341691970825, 0.9422255158424377, 0.08625361323356628]",129.44075988986918
"[0.5438860654830933, 0.6444067358970642, -0.003553468734025955]","[0.5284725427627563, 0.8023474812507629, -0.03047608956694603]","[0.5334836840629578, 0.9422938227653503, 0.08681929111480713]",129.92031501642435
"[0.5438820123672485, 0.6442669630050659, -0.0037261832039803267]","[0.5293084979057312, 0.8022722005844116, -0.02455039694905281]","[0.5334180593490601, 0.9423080682754517, 0.08791093528270721]",133.3186705322225
"[0.5439345836639404, 0.6445247530937195, -0.0035990062169730663]","[0.5301102995872498, 0.8022756576538086, -0.017102014273405075]","[0.5334139466285706, 0.9423139095306396, 0.09523707628250122]",136.0012962902356
"[0.5439640283584595, 0.6452025771141052, -0.003438776358962059]","[0.5302210450172424, 0.8023712635040283, -0.01296872179955244]","[0.5334084033966064, 0.9425046443939209, 0.09776832163333893]",137.82846649416828
"[0.5440341234207153, 0.6454333066940308, -0.0033976540435105562]","[0.5305904150009155, 0.8024242520332336, -0.013895650394260883]","[0.5334036350250244, 0.9425057768821716, 0.09753988683223724]",137.32312575593977
"[0.5440477132797241, 0.645660400390625, -0.0033936244435608387]","[0.5308631062507629, 0.8019545078277588, -0.01346585713326931]","[0.5333755612373352, 0.9425615668296814, 0.09525035321712494]",138.26466707615035
"[0.5440776944160461, 0.645800769329071, -0.0034079886972904205]","[0.5311620831489563, 0.8014552593231201, -0.014326286502182484]","[0.533372700214386, 0.9425941705703735, 0.0934690535068512]",138.30203278599134
"[0.5440994501113892, 0.6458907723426819, -0.003428299678489566]","[0.5313084721565247, 0.8011705875396729, -0.014574363827705383]","[0.5333694219589233, 0.9426235556602478, 0.09265349805355072]",138.4252156592683
"[0.5441018342971802, 0.6460212469100952, -0.0032182163558900356]","[0.5314041972160339, 0.8009722828865051, -0.012344547547399998]","[0.5333482027053833, 0.9426508545875549, 0.09383617341518402]",139.47154406319387
"[0.5441039800643921, 0.6461195349693298, -0.003091599093750119]","[0.5314674377441406, 0.8008351922035217, -0.012034477666020393]","[0.5333287119865417, 0.9426822066307068, 0.09413188695907593]",139.57500891718914
"[0.544131338596344, 0.6461681723594666, -0.003094423795118928]","[0.5316317677497864, 0.8008591532707214, -0.014206436462700367]","[0.5333151817321777, 0.9429832100868225, 0.09224952757358551]",138.77457849334482
"[0.5441912412643433, 0.6462015509605408, -0.0030536239501088858]","[0.5319418907165527, 0.8008667230606079, -0.014001449570059776]","[0.5333112478256226, 0.9429855346679688, 0.09202267229557037]",138.9662629329857
"[0.5441941618919373, 0.6461898684501648, -0.0031339589040726423]","[0.5321842432022095, 0.8008765578269958, -0.014959065243601799]","[0.533302903175354, 0.9431222677230835, 0.09051331132650375]",138.83179591264133
