Frame,Left Hip Flexion (deg),Left Hip Adduction (deg),Left Hip Rotation (deg),Right Hip Flexion (deg),Right Hip Adduction (deg),Right Hip Rotation (deg),Left Knee Flexion (deg),Right Knee Flexion (deg)
70,-71.85478851955156,-30.777047482173867,-164.9365158022869,0.21626958220945025,0.20868442073178137,-89.78359256806787,102.1657717088106,2.7665564353534537
71,-71.12094782280413,-31.07510239763946,-164.24327194967245,0.1442162343693906,0.14026095654868626,-89.85572799756957,103.10327581231883,3.5619553794840084
72,-70.82098158946147,-31.701481474057232,-163.8582011773091,0.16559097914174636,0.16198567372766703,-89.83436889952497,103.68797002879846,3.728831140132804
73,-70.74913826052118,-32.24089885315906,-163.69148531830646,0.1640600780118326,0.16149638021080973,-89.8359195731899,103.87493187853262,3.712961078793963
74,-70.61042364788625,-31.878330857328866,-163.63761161071648,0.1643247371559778,0.1613606175080205,-89.83564803822604,103.85838854201897,3.7060888350362235
75,-70.2398008995738,-31.665226039925987,-163.3502471984378,0.12021353028165713,0.1168231253404523,-89.87973727220175,102.51070218626842,1.7964065428081133
76,-69.97040609492416,-31.51389294443,-163.14092106153566,0.03796396408179388,0.0369544211418397,-89.96202224627345,103.38513127933403,2.731342179241212
77,-69.80901255613095,-31.147820613434423,-163.07297661407316,0.05112731952151373,0.04941654954483931,-89.94884306760048,103.39652409687179,2.66690770636515
78,-70.17863546310154,-30.998753222797415,-163.4316202331609,0.06499205081181982,0.06267424486755245,-89.93496509091183,102.08936689091799,1.2791450823140986
79,-70.5586591717711,-31.550185212843072,-163.6559413299773,-0.0,-0.0,-90.0,102.32698887488263,1.4269696546260189
80,-70.85147857220198,-31.939780202189464,-163.8394369028312,-0.0522883186651999,-0.05070766411462984,-90.05231295466056,101.99554098205697,0.9489280510669758
81,-69.74839799621742,-31.182993338645982,-163.0116482294373,-0.05228958330551826,-0.05074939965946429,-90.05231295466056,102.00618982705097,0.9475926069030594
82,-69.21593037617555,-31.85831284476627,-162.39224067696242,-0.026031138560724205,-0.025339588983747177,-90.02604057519285,102.7724327984125,1.2113685824137566
83,-69.01522873836633,-31.309623654329176,-162.32769749348142,-0.02603398767183151,-0.02545487704701543,-90.02604057519285,102.56034533924237,1.2084354476805992
84,-67.03803450211153,-29.928707231890016,-160.8584815674875,-0.05221170229921709,-0.05111114528812275,-90.05222355123287,101.98105717166858,0.3998872346545408
85,-66.54773318438664,-29.71316472164018,-160.46509249649287,-0.052287895093767356,-0.051430047357399235,-90.05229504949493,101.89540076335562,0.3957156106854243
86,-66.38933605040124,-29.91234247718117,-160.2669856687734,0.026142880199871005,0.025849299235223784,-89.97385545264136,101.94280992882258,0.3929418910764576
87,-66.09788292490961,-29.76033022040036,-160.03780367340607,0.026176162366449048,0.025923258524522184,-89.97382260398561,101.8913813090336,0.39017217724943803
88,-65.38652877951453,-29.573802474348103,-159.42704517631225,-0.01309130585226002,-0.012991481725987271,-90.01309168936731,101.93776275000367,0.20063945356266005
89,-65.32985671209495,-29.90849252352707,-159.28173995981564,-0.03247608668911994,-0.03224496922467004,-90.03247691496233,102.42556592443873,0.34318210902616697
90,-64.28914143302339,-30.32227538675485,-158.17990865764358,-0.032238972901606856,-0.03239535708884962,-90.03223935036348,103.0154546741101,0.341196835348813
91,-63.78696415489601,-30.73149456905176,-157.58164813527188,-0.018901237061343154,-0.019179720310997975,-90.01890325880396,104.29750664612287,1.5022098212030985
92,-63.944326880979204,-31.179307524355103,-157.61217608934882,-0.08615372317956613,-0.08775084214596109,-90.08616825743151,105.03256645762396,2.036779144607619
93,-63.861569701588394,-30.780143443884477,-157.64059424507846,-0.13248530765452887,-0.136529512602804,-90.13254520512228,105.48839643035268,3.02022941372933
94,-63.899484767705665,-30.972131810077073,-157.6247422687762,-0.15734777741602407,-0.1627935360863384,-90.15743886260931,105.61501134789239,3.0813586532774897
95,-64.56231776351729,-31.377456564834883,-158.15835387405266,-0.1802262310630521,-0.18688761741348503,-90.18034494899024,104.37210554396071,1.5267280701669002
96,-63.49221091895025,-30.900474023359607,-157.2477406400076,-0.30664752442052096,-0.3203061884413061,-90.30693873970935,102.66465356466463,-1.1979255718586759
97,-63.551655272370944,-30.720163488791897,-157.3559594438816,-0.3082431790010583,-0.3225229343604549,-90.30855929314501,102.54654197255934,-1.2005999819868418
98,-62.46139514597682,-29.791393585893907,-156.56022485207666,-0.28428508457971763,-0.3010126953928261,-90.28474986425896,101.93413005271698,-1.5052257302106367
99,-63.43800057421621,-30.148338823969286,-157.40807078821467,-0.22899464375933926,-0.2411192886898907,-90.22929948397854,102.32274046815667,-0.6429458591476094
100,-63.435808214343886,-30.14969735959186,-157.40554980515947,-0.2298414552318741,-0.24205719665941472,-90.23014969438046,102.32304767246745,-0.6445078321480532
101,-64.33211099399725,-30.776748926854577,-158.09628990439816,-0.21209972171890712,-0.22284013691817842,-90.21235855220269,103.11305792153128,0.37218869028982465
102,-64.3086650076607,-30.90657719898788,-158.03856470546248,-0.21356768300611445,-0.22401709964920163,-90.21381139088511,103.2260947037314,0.37528763285681405
103,-63.861894502031824,-30.41238145870418,-157.74333426385823,-0.2611919565691092,-0.2744924588151183,-90.26151419004684,102.4134602414461,-0.571860420751122
104,-64.08752498914458,-30.51116145388553,-157.93353849148826,-0.28660298286808733,-0.3011592516046348,-90.2869547602333,100.61191936593983,-2.9613378079735853
105,-65.74408297010116,-31.73517891574927,-159.20007528137907,-0.2528802381512452,-0.2634655089291219,-90.25309287838594,101.9082940940025,-1.1352784355485872
106,-65.41802657603867,-31.262161154945407,-159.00800870605633,-0.25389107346599293,-0.26391982714901935,-90.25408161389116,101.75514143334004,-1.1303573680869337
107,-64.89661967365865,-31.70560970491914,-158.39628849659343,-0.2257302873229701,-0.2306757087369888,-90.22578329892177,102.31399640943722,-1.3140220824158002
108,-65.44413524206308,-32.31283867042001,-158.77301720608568,-0.12844428380745712,-0.1319877299830114,-90.12849184874008,103.46706086776643,0.30886582666473017
109,-65.87252042899502,-32.35775749820003,-159.17268841271934,0.011349012112346414,0.011675158522667104,-89.9886464324258,103.91658028808801,1.1487868293425731
110,-66.00561756479006,-31.986532337370654,-159.38775853437167,0.011373032015405649,0.01168663306908991,-89.98862276037329,103.70267501691959,1.1495666609570119
111,-67.23426056442273,-33.74177376477851,-160.16171450579958,0.08512033472480952,0.0874625010463324,-89.91484830477135,105.80440467664329,3.2345215769217397
112,-68.00544591023137,-34.5555854990423,-160.7289731950091,0.09881805999658691,0.10071093390604559,-89.90116415163926,105.13541680629397,2.348736122191058
113,-68.70061210842786,-34.91772741887073,-161.31632086109383,0.11654507140805691,0.11850548142791427,-89.88343871331529,105.8947610731399,3.557281049834479
114,-69.58565118395477,-34.99043931852512,-162.13102655360998,0.20718654175629303,0.2100750647457605,-89.79279359986039,106.21588323167155,4.590108931725164
115,-70.86618367508302,-35.25149992170072,-163.2699726837771,0.23575142203330066,0.2396893168578607,-89.76421623012332,105.76915815984262,4.8347432207302905
116,-71.43771930839681,-35.56979746406601,-163.74301713092603,0.23580122993833866,0.2421062933834871,-89.76411667091031,105.46051084994589,4.843509979079409
117,-71.72946060271006,-35.59814875941891,-164.004914679809,0.2544437638822621,0.2614822491272071,-89.7454615074696,106.2233419502405,5.993946017363364
118,-73.5783685774217,-36.67283576352627,-165.53039703698064,0.30986276315159383,0.32028996765085943,-89.68996750814945,106.85752361594776,7.515496886062668
119,-73.35846933986775,-35.190662471898115,-165.53140203112406,0.25528896550010843,0.2608749558417904,-89.74465123011136,106.28548646824247,7.175039105612898
