right_foot_index,right_ankle,right_knee,right_hip,angle_xy,angle_hip
"[0.5107352137565613, 0.9371688365936279]","[0.5268398523330688, 0.8959614634513855]","[0.5403436422348022, 0.741341233253479]","[0.5491686463356018, 0.5781047344207764]",178.1032770798781,94.12295407810716
"[0.5107048749923706, 0.9372370839118958]","[0.5268426537513733, 0.8961676955223083]","[0.5404077768325806, 0.7412680983543396]","[0.5487097501754761, 0.577941358089447]",177.90503411358807,93.87723192130362
"[0.5106381177902222, 0.9372467398643494]","[0.5268451571464539, 0.8962425589561462]","[0.5405417680740356, 0.7412450909614563]","[0.5483977198600769, 0.577846109867096]",177.7026459850367,93.66789586556534
"[0.5106785893440247, 0.9372444152832031]","[0.5268496870994568, 0.8962689638137817]","[0.5405198335647583, 0.7410084009170532]","[0.5479199290275574, 0.5778442025184631]",177.56507807605433,93.46055119991317
"[0.5108445286750793, 0.9372300505638123]","[0.526847243309021, 0.896264910697937]","[0.5404579043388367, 0.74046391248703]","[0.5477504730224609, 0.5776247382164001]",177.5715711252614,93.41717831772787
"[0.5109493136405945, 0.9372707009315491]","[0.5268482565879822, 0.896300733089447]","[0.5404269695281982, 0.7402870059013367]","[0.5475687384605408, 0.5776301622390747]",177.5398446267407,93.35042125220109
"[0.5112623572349548, 0.9372759461402893]","[0.526849627494812, 0.8962609171867371]","[0.5405765175819397, 0.7401021718978882]","[0.5475751161575317, 0.5776280164718628]",177.4429162581192,93.28708794271795
"[0.5116873979568481, 0.9372736215591431]","[0.5268509984016418, 0.896263062953949]","[0.5406134724617004, 0.7399415969848633]","[0.5475805997848511, 0.5775951743125916]",177.42602820363612,93.27490782793278
"[0.5120426416397095, 0.9372646808624268]","[0.5268558859825134, 0.8962642550468445]","[0.5406609773635864, 0.7398112416267395]","[0.5475849509239197, 0.5775375962257385]",177.40064173535336,93.25612361369704
"[0.5124014616012573, 0.937233030796051]","[0.5269688367843628, 0.8962656855583191]","[0.5408198833465576, 0.7397943139076233]","[0.5476546287536621, 0.5775817632675171]",177.3539921442484,93.21545907463376
"[0.5123978853225708, 0.937119722366333]","[0.5269814729690552, 0.8962719440460205]","[0.5408315658569336, 0.7397800087928772]","[0.5477188229560852, 0.577584445476532]",177.3737689576818,93.24044979752004
"[0.5124068856239319, 0.9371082186698914]","[0.526993453502655, 0.896276593208313]","[0.5408340096473694, 0.7396252751350403]","[0.5479205846786499, 0.5775124430656433]",177.45390324037666,93.33571777861586
"[0.5124463438987732, 0.9370431900024414]","[0.5270088911056519, 0.8962777853012085]","[0.5408223867416382, 0.7393471598625183]","[0.5479246377944946, 0.5774713754653931]",177.4818457478583,93.34796432415686
"[0.5124841928482056, 0.9370332360267639]","[0.5270117521286011, 0.8962932229042053]","[0.5407330393791199, 0.7393180131912231]","[0.5479096174240112, 0.5774697065353394]",177.54335350463631,93.383493730574
"[0.512508749961853, 0.936954915523529]","[0.5270143747329712, 0.8962958455085754]","[0.5407304763793945, 0.7393154501914978]","[0.5479106307029724, 0.5774906873703003]",177.54702865700926,93.38566725753131
"[0.5125512480735779, 0.9369377493858337]","[0.5270301103591919, 0.8962879180908203]","[0.5406886339187622, 0.7392542958259583]","[0.547958254814148, 0.5774911642074585]",177.60215463274344,93.42905641952669
"[0.5126420259475708, 0.9369134902954102]","[0.5270351767539978, 0.8962939381599426]","[0.5406851768493652, 0.7391889691352844]","[0.5479447841644287, 0.5775174498558044]",177.60540050376184,93.42628010210701
"[0.512649416923523, 0.9369228482246399]","[0.5270360708236694, 0.8963661789894104]","[0.540401816368103, 0.7390573024749756]","[0.5476273894309998, 0.5774925947189331]",177.70423175779783,93.41250434413246
"[0.512636125087738, 0.9369223713874817]","[0.5270382165908813, 0.8963792324066162]","[0.5403426885604858, 0.7390534281730652]","[0.5476058721542358, 0.577480673789978]",177.74009063230608,93.43005437311172
"[0.5124030709266663, 0.9369292855262756]","[0.5270179510116577, 0.8963815569877625]","[0.5401678681373596, 0.7389801144599915]","[0.5476135611534119, 0.5774152278900146]",177.86298223288728,93.51620205742437
