frame,rt_hip_sagittal,rt_hip_frontal,rt_hip_transe,rt_knee_sagittal,rt_knee_frontal,rt_knee_transe,rt_ank_sagittal,lt_hip_sagittal,lt_hip_frontal,lt_hip_transe,lt_knee_sagittal,lt_knee_frontal,lt_knee_transe,lt_ank_sagittal
75,163.43182406866762,33.59132610420685,176.81211797708266,162.40323447337187,0.0,-95.62138366453563,-8.943701102251206,-175.35184182753284,34.25303805772349,176.73152509666028,161.80153656194514,0.0,-70.09748888046062,-6.279046442082679
76,163.32337472300742,33.66079495200457,176.82757044959703,162.57470816982323,0.0,-95.84328773519164,-8.69622822183547,-175.1750409990701,34.38808448552539,176.73943979133196,161.86392249222567,0.0,-69.62120067726745,-5.980297217698312
77,163.18480752869735,33.81954787341876,176.73068879926439,163.05037094935864,0.0,-96.05249404946944,-8.385617975062617,-175.33553662641515,34.377745358542974,176.66127506204484,162.50644387730597,0.0,-68.36714099536344,-5.515082044029491
78,163.39657545296484,33.36419712698567,177.0022846084803,163.8171447590809,0.0,-95.62553740278652,-8.374181023748038,-175.81092538970975,33.780959158690834,176.95453845715286,163.56752552063227,0.0,-68.71009523216,-5.3965114026469205
79,163.5924247972561,32.85021438448916,177.1705286364623,164.29031903289567,0.0,-95.11629532284515,-8.347664691518743,-176.3050459446706,33.18164494314373,177.13444725032824,164.37320122101875,0.0,-68.92217671738662,-5.210767794311321
80,163.41018256520587,33.15150266411756,177.52071118531785,164.74840922416877,0.0,-95.31060553030878,-8.001852148485264,-176.621558314088,32.977066300957425,177.53717509938468,164.77844954116378,0.0,-70.60512853391494,-5.7360882334481
81,162.23012389470134,33.46648275467256,177.35451174317146,164.03522432071443,0.0,-95.7170082747022,-8.342066510500844,-176.3546590643415,33.090397547651484,177.3921229688599,164.62484199272,1.2722218725854067e-14,-69.83600016342007,-5.659067581885852
82,162.25537242457503,33.08349700210788,177.62866743108506,164.34525957452126,0.0,-95.60704176040583,-8.229754245700057,-176.16627620548866,32.69165657484746,177.66398869037258,164.6012211422363,0.0,-69.9253066481587,-5.806934668852933
83,161.81243246371497,32.77835635465071,177.67409803984467,164.24619007851953,0.0,-95.97577204211261,-8.335270693317096,-176.04615103625275,32.33865858160186,177.7131402889702,164.8285563879554,0.0,-69.1592885994107,-5.585303107252527
84,161.6302554640614,32.8719939436215,177.62308511553084,164.79125840718547,0.0,-96.95171693335779,-7.9685883884599225,-176.05788197603098,32.53418324623133,177.6537281159198,165.23222472502235,0.0,-68.23351635916315,-5.243768135778615
85,161.42265124111688,32.44779469901648,177.56431378124506,165.39505887292776,0.0,-98.24609226658113,-7.522291027614983,-176.3830891415377,32.20925943280126,177.58666432600123,165.79981309283997,0.0,-68.16214931890102,-5.007298025534431
86,161.5217102251083,31.78393179946988,177.54985399809402,166.00559693280272,0.0,-98.65279940944124,-7.397994548836689,-176.69180944725414,31.76926107825214,177.5512558406654,166.23551200649698,0.0,-68.35219396555185,-4.965542386723813
87,161.635481499126,31.34907036783094,177.60377354850564,166.36445911591278,0.0,-99.13062779508851,-7.268668448202355,-176.59525807409457,31.40025335175318,177.5989502520161,166.51085945630683,0.0,-67.92712102019637,-4.862783474035223
88,161.5082866165781,31.155832821903218,177.61544598300028,166.58035537901773,1.2722218725854067e-14,-99.81876477980572,-7.248216590955456,-176.55549140713256,31.374107368266134,177.59486849127015,166.66997321417108,0.0,-68.03393778449409,-4.878548045645848
89,161.40064609133563,30.970332646625465,177.758305092393,166.44699900994374,0.0,-100.04414810829554,-7.406396470466874,-176.15046388616608,31.079921452125944,177.74857141287578,166.71926125201796,0.0,-68.1518656530144,-5.038958086957753
90,160.95073496463448,31.00549073890398,177.7471085446879,165.77648050496978,0.0,-99.61826000882948,-7.857420890230061,-175.86252990728823,30.936748833033505,177.75322923188887,166.47543596403838,1.2722218725854067e-14,-69.0976499812436,-5.370174518176144
91,160.97086276203763,30.951526530352695,177.5951461012019,165.82946760039167,0.0,-99.83253214604193,-7.831961466721543,-175.7234493728253,30.81091634675781,177.6085146605912,166.55324983492636,0.0,-68.97850462970389,-5.43208514708549
